date,normalised_level
2001-06-01,
2001-09-01,
2001-12-01,
2002-03-01,
2002-06-01,4.081658455181184
2002-09-01,
2002-12-01,
2003-03-01,
2003-06-01,
2003-09-01,
2003-12-01,
2004-03-01,
2004-06-01,
2004-09-01,
2004-12-01,
2005-03-01,
2005-06-01,
2005-09-01,
2005-12-01,
2006-03-01,
2006-06-01,
2006-09-01,
2006-12-01,
2007-03-01,
2007-06-01,-0.10499999999999687
2007-09-01,
2007-12-01,
2008-03-01,
2008-06-01,
2008-09-01,
2008-12-01,
2009-03-01,
2009-06-01,0.05250000000000199
2009-09-01,
2009-12-01,
2010-03-01,
2010-06-01,
2010-09-01,
2010-12-01,
2011-03-01,
2011-06-01,0.6286863704477312
2011-09-01,
2011-12-01,
2012-03-01,
2012-06-01,0.9059441694669061
2012-09-01,
2012-12-01,
2013-03-01,
2013-06-01,0.06188656513940649
2013-09-01,
2013-12-01,
2014-03-01,
2014-06-01,-0.06955131232403904
2014-09-01,
2014-12-01,
2015-03-01,
2015-06-01,0.049844416946690374
2015-09-01,
2015-12-01,
2016-03-01,
2016-06-01,-0.006605406156841909
2016-09-01,
2016-12-01,
2017-03-01,
2017-06-01,-0.03104650490202359
2017-09-01,
2017-12-01,
2018-03-01,
2018-06-01,-0.2163399700047446
2018-09-01,
2018-12-01,
2019-03-01,
2019-06-01,-0.14649009048802614
2019-09-01,
2019-12-01,
2020-03-01,
2020-06-01,-0.8876872559258935
